AT-EE185D2	49004J	KNDJH741285008110	new	Kia Borrego 4x4	2008	$30,400 	$29,199 	Sport Utility	Four Door	6 Cylinder Gasoline	Gasoline	Spicy Red	Gray	Unlisted 	\N	4 wheel drive - rear	5 Speed Automatic	Driver air bag, passenger air bag, side air bag, side head air bag, rear head air bag, a/c, alarm, am/fm stereo, cd player, 4-wheel abs, 4-wheel disc brakes, cruise control, child safety locks, four wheel drive, keyless entry, power door locks, po. View more details.
AT-F8E0046	15878	SALAG25456A358004	used	Land Rover LR3 HSE	2006	\N	$29,500 	Sport Utility	Four Door	8 Cylinder Gasoline	Gasoline	Java Black	Black	43,824 	\N	4 wheel drive	6 Speed Shiftable Automatic	Driver air bag, passenger air bag, passenger air bag on/off switch, side head air bag, rear head air bag, climate control, dual zone a/c, am/fm stereo, cd changer, privacy glass, variable speed intermittent wipers, rain sensing wipers, steering wh. View more details.
AT-F945176	\N	\N	used	Lexus GX470 4x4	2006	\N	$29,500 	Sport Utility	Five Door	8 Cylinder	Gasoline	White	Beige	77,000 	\N	4 wheel drive	Automatic	Third row seat w/rear a/c; navigation/mark levinson audio pckg w/rear camera, bluetooth, steering wheel voice command, rear spoiler, leather seats, moonroof, heated front seats; dual climate control, rear audio system, pwr tilt steering, heated ou. Read more.
AT-F8F7350	\N	\N	used	BMW 335xi Sedan	2007	\N	$29,500 	Sedan	Four Door	6 Cylinder	Gasoline	Beige	Tan	22,500 	\N	All wheel drive	Automatic	Priced dropped for fast sale due to out of country move !!  2007 bmw 335xi platinum bronze (bmw xdrive), inside is a light tan 300hp, twin turbo excellent /mint condition 22,500 miles steptronic gear box (manual or auto). Premium package, winter p. Read more.
AT-F748E6A	8K055195	JTEBU11F48K055195	new	Toyota FJ Cruiser 4x4	2008	$29,512 	$29,512 	Sport Utility	Two Door	6 Cylinder Gasoline	Gasoline	Silver	\N	Unlisted 	\N	4 wheel drive - rear	Automatic	Roof rack (ppo),steel wheels,electronic stability control,brake assist,vehicle anti-theft system,driver air bag,passenger air bag,side air bag,side head air bag,rear head air bag,a/c,am/fm stereo,cd player,4-wheel abs,4-wheel disc brakes,rear defr. View more details.
AT-F8CA62E	P9496	3D7MX48C16G185477	used	Dodge Ram 3500 Truck 4x4 Quad Cab DRW	2006	\N	$29,525 	Truck	Four Door	6 Cylinder Diesel Tur	Diesel	Bright White	Dark Slate Gray	35,793 	\N	4 wheel drive - rear	Automatic	Christopher's dodge world. The 2007 national dodge dealer of the year, is north america's largest five star dodge dealership. Situated on 22 acres in beautiful golden, colorado, we have the regions best selection of new dodge cars, truck. View more details.
AT-F4F9856	000P9777	YV4CZ982871355254	used	Volvo XC90 AWD 3.2L 7-Passenger	2007	\N	$29,536 	Sport Utility	Four Door	6 Cylinder Gasoline	Gasoline	Silver	\N	25,022 	\N	All wheel drive	6 Speed Automatic	Denvers largest xc90 selection! ask about volvo factory certified 6yr 100,000 mile protection!    this 2007 volvo xc90 3. 2 includes 235 horsepower, 3. 2 liter inline 6 cylinder dohc engine with variable valve timing, 4 doors, 4-wheel abs brakes, 4w. View more details.
AT-F8CA60D	P9497	3D7LX38CX6G170742	used	Dodge Ram 3500 Truck 4x4 Quad Cab	2006	\N	$29,553 	Truck	Four Door	6 Cylinder Diesel Tur	Diesel	Bright Silver Metallic	\N	50,671 	\N	4 wheel drive - rear	Manual	,christopher\'s dodge world, the 2007 national dodge dealer of the year, is north america's largest five star dodge dealership. Situated on 22 acres in beautiful golden, colorado, we have the regions best selection of new dodge cars, truck. View more details.
AT-F4DD53E	000P9771	YV4CZ982871368618	used	Volvo XC90 AWD 3.2L 7-Passenger	2007	\N	$29,599 	Sport Utility	Four Door	6 Cylinder Gasoline	Gasoline	White	\N	19,294 	\N	All wheel drive	6 Speed Automatic	Denvers largest xc90 selection! ask about volvo factory certified 6yr 100,000 mile protection!    this 2007 volvo xc90 3. 2 includes 235 horsepower, 3. 2 liter inline 6 cylinder dohc engine with variable valve timing, 4 doors, 4-wheel abs brakes, 4w. View more details.
AT-F51241E	000P9767	YV4CZ982671355642	used	Volvo XC90 AWD 3.2L 7-Passenger	2007	\N	$29,699 	Sport Utility	Four Door	6 Cylinder Gasoline	Gasoline	Green	\N	21,540 	\N	All wheel drive	6 Speed Automatic	Denvers largest selection of pre owned xc90s!     this 2007 volvo xc90 3. 2 includes 235 horsepower, 3. 2 liter inline 6 cylinder dohc engine with variable valve timing, 4 doors, 4-wheel abs brakes, 4wd type - full-time, 8-way power adjustable drivers.
AT-F63D817	9P52	4JGBB86E67A197535	certified used	Mercedes-Benz ML350	2007	\N	$29,850 	Sport Utility	Four Door	6 Cylinder Gasoline	Gasoline	Pewter Metallic	Black	29,680 	\N	All wheel drive	7 Speed Shiftable Automatic	This 2007 mercedes-benz m-class ml350 4x4 suv features a 3. 5l v6 sfi dohc 24v 6cyl unknown engine. It is equipped with a 7 speed automatic transmission. The vehicle is pewter metallic with a black leatherette interior. It is offered as-is, extende. View more details.
AT-F7F68AA	9P125	WBXPC93487WF08352	certified used	BMW X3 3.0i	2007	\N	$29,850 	Sport Utility	Four Door	6 Cylinder Gasoline	Gasoline	Crimson Red	Sand Beige	19,512 	\N	All wheel drive	Automatic	This 2007 bmw x3 3. 0si awd suv features a 3. 0l l6 fi dohc 24v 6cyl unknown engine. It is equipped with a 6 speed automatic transmission. The vehicle is crimson red with a sand beige leather interior. It is offered as-is, extended warranty is avail. View more details.
AT-F891590	BP9182	WBXPC93427WF02336	certified used	BMW X3 3.0i	2007	\N	$29,875 	Sport Utility	Four Door	6 Cylinder Gasoline	Gasoline	Jet Black	Sand Beige	21,928 	\N	All wheel drive	Automatic	This 2007 bmw x3 3. 0si awd features a 3. 0l l6 fi dohc 24v 6cyl gasoline engine. It is equipped with a 6 speed shiftable automatic transmission. The vehicle is jet black with a sand beige leatherette interior. It is offered with the remaining facto. View more details.
